user_id,event_type,event_date,channel,device,revenue
1,view_product,2026-05-24 21:00:00,organic,desktop,0
1,add_to_cart,2026-05-26 16:00:00,organic,desktop,0
4,view_product,2026-05-20 03:00:00,paid_social,mobile,0
4,add_to_cart,2026-05-20 15:00:00,paid_social,mobile,0
5,view_product,2026-05-08 02:00:00,organic,desktop,0
6,view_product,2026-05-18 23:00:00,organic,desktop,0
8,view_product,2026-05-10 18:00:00,email,mobile,0
10,view_product,2026-05-11 21:00:00,organic,tablet,0
10,add_to_cart,2026-05-12 05:00:00,organic,tablet,0
10,purchase,2026-05-12 23:00:00,organic,tablet,49
11,view_product,2026-05-11 05:00:00,organic,mobile,0
11,add_to_cart,2026-05-11 11:00:00,organic,mobile,0
11,purchase,2026-05-12 17:00:00,organic,mobile,49
12,view_product,2026-05-15 10:00:00,email,desktop,0
13,view_product,2026-05-27 22:00:00,organic,mobile,0
14,view_product,2026-05-05 15:00:00,referral,mobile,0
14,add_to_cart,2026-05-07 11:00:00,referral,mobile,0
16,view_product,2026-06-02 00:00:00,email,desktop,0
16,add_to_cart,2026-06-02 13:00:00,email,desktop,0
18,view_product,2026-05-26 22:00:00,organic,mobile,0
18,add_to_cart,2026-05-27 03:00:00,organic,mobile,0
18,purchase,2026-05-28 21:00:00,organic,mobile,199
19,view_product,2026-05-11 20:00:00,email,mobile,0
20,view_product,2026-05-18 16:00:00,search,mobile,0
21,view_product,2026-05-14 11:00:00,paid_social,desktop,0
22,view_product,2026-05-28 21:00:00,referral,desktop,0
22,add_to_cart,2026-05-29 08:00:00,referral,desktop,0
22,purchase,2026-05-29 17:00:00,referral,desktop,99
24,view_product,2026-05-11 02:00:00,organic,mobile,0
26,view_product,2026-05-27 21:00:00,paid_social,desktop,0
26,add_to_cart,2026-05-29 11:00:00,paid_social,desktop,0
28,view_product,2026-05-15 21:00:00,paid_social,mobile,0
29,view_product,2026-06-04 10:00:00,referral,desktop,0
30,view_product,2026-05-14 11:00:00,organic,mobile,0
31,view_product,2026-05-31 17:00:00,referral,mobile,0
32,view_product,2026-05-13 05:00:00,organic,desktop,0
32,add_to_cart,2026-05-14 04:00:00,organic,desktop,0
34,view_product,2026-06-01 14:00:00,search,mobile,0
35,view_product,2026-05-06 04:00:00,paid_social,mobile,0
36,view_product,2026-05-02 04:00:00,email,mobile,0
37,view_product,2026-05-11 04:00:00,email,mobile,0
37,add_to_cart,2026-05-11 05:00:00,email,mobile,0
40,view_product,2026-05-29 06:00:00,referral,desktop,0
40,add_to_cart,2026-05-30 08:00:00,referral,desktop,0
41,view_product,2026-05-05 00:00:00,search,mobile,0
42,view_product,2026-05-13 08:00:00,email,mobile,0
42,add_to_cart,2026-05-14 16:00:00,email,mobile,0
43,view_product,2026-05-13 05:00:00,paid_social,mobile,0
44,view_product,2026-05-26 03:00:00,email,mobile,0
44,add_to_cart,2026-05-27 00:00:00,email,mobile,0
45,view_product,2026-05-18 07:00:00,email,mobile,0
46,view_product,2026-05-05 13:00:00,email,mobile,0
48,view_product,2026-05-14 20:00:00,email,mobile,0
48,add_to_cart,2026-05-16 12:00:00,email,mobile,0
49,view_product,2026-05-26 16:00:00,referral,tablet,0
49,add_to_cart,2026-05-28 15:00:00,referral,tablet,0
50,view_product,2026-05-21 11:00:00,paid_social,mobile,0
51,view_product,2026-05-30 14:00:00,paid_social,tablet,0
51,add_to_cart,2026-05-31 06:00:00,paid_social,tablet,0
51,purchase,2026-06-02 00:00:00,paid_social,tablet,149
54,view_product,2026-05-27 08:00:00,paid_social,mobile,0
55,view_product,2026-05-27 22:00:00,paid_social,mobile,0
55,add_to_cart,2026-05-28 07:00:00,paid_social,mobile,0
56,view_product,2026-05-26 07:00:00,paid_social,mobile,0
57,view_product,2026-05-10 15:00:00,paid_social,desktop,0
59,view_product,2026-05-23 12:00:00,organic,mobile,0
60,view_product,2026-05-22 16:00:00,search,mobile,0
61,view_product,2026-05-22 08:00:00,paid_social,mobile,0
61,add_to_cart,2026-05-23 09:00:00,paid_social,mobile,0
62,view_product,2026-05-05 22:00:00,paid_social,desktop,0
62,add_to_cart,2026-05-06 02:00:00,paid_social,desktop,0
63,view_product,2026-05-08 10:00:00,search,mobile,0
63,add_to_cart,2026-05-10 02:00:00,search,mobile,0
64,view_product,2026-05-25 10:00:00,search,mobile,0
65,view_product,2026-06-02 06:00:00,organic,mobile,0
66,view_product,2026-05-21 19:00:00,organic,desktop,0
66,add_to_cart,2026-05-23 18:00:00,organic,desktop,0
66,purchase,2026-05-24 19:00:00,organic,desktop,99
67,view_product,2026-05-08 12:00:00,paid_social,desktop,0
69,view_product,2026-05-28 06:00:00,paid_social,mobile,0
69,add_to_cart,2026-05-28 08:00:00,paid_social,mobile,0
69,purchase,2026-05-30 14:00:00,paid_social,mobile,29
70,view_product,2026-05-05 14:00:00,organic,mobile,0
71,view_product,2026-05-18 14:00:00,paid_social,desktop,0
72,view_product,2026-05-04 14:00:00,search,tablet,0
72,add_to_cart,2026-05-06 12:00:00,search,tablet,0
73,view_product,2026-05-08 04:00:00,organic,desktop,0
73,add_to_cart,2026-05-08 06:00:00,organic,desktop,0
73,purchase,2026-05-10 00:00:00,organic,desktop,99
74,view_product,2026-05-28 23:00:00,email,mobile,0
74,add_to_cart,2026-05-29 01:00:00,email,mobile,0
75,view_product,2026-05-10 05:00:00,paid_social,mobile,0
75,add_to_cart,2026-05-10 08:00:00,paid_social,mobile,0
76,view_product,2026-05-10 01:00:00,organic,mobile,0
77,view_product,2026-06-04 22:00:00,organic,desktop,0
77,add_to_cart,2026-06-05 03:00:00,organic,desktop,0
78,view_product,2026-05-28 16:00:00,search,mobile,0
78,add_to_cart,2026-05-30 14:00:00,search,mobile,0
78,purchase,2026-06-01 13:00:00,search,mobile,499
79,view_product,2026-05-21 10:00:00,email,tablet,0
80,view_product,2026-06-03 01:00:00,email,mobile,0
81,view_product,2026-05-17 22:00:00,paid_social,mobile,0
81,add_to_cart,2026-05-18 04:00:00,paid_social,mobile,0
82,view_product,2026-05-13 08:00:00,referral,mobile,0
82,add_to_cart,2026-05-13 12:00:00,referral,mobile,0
83,view_product,2026-05-01 20:00:00,referral,mobile,0
84,view_product,2026-05-26 01:00:00,email,mobile,0
84,add_to_cart,2026-05-26 16:00:00,email,mobile,0
86,view_product,2026-05-20 10:00:00,search,mobile,0
86,add_to_cart,2026-05-22 03:00:00,search,mobile,0
87,view_product,2026-05-09 15:00:00,organic,tablet,0
87,add_to_cart,2026-05-11 13:00:00,organic,tablet,0
88,view_product,2026-05-19 06:00:00,search,mobile,0
89,view_product,2026-05-15 15:00:00,organic,desktop,0
89,add_to_cart,2026-05-17 12:00:00,organic,desktop,0
89,purchase,2026-05-19 12:00:00,organic,desktop,99
91,view_product,2026-05-03 17:00:00,referral,mobile,0
91,add_to_cart,2026-05-05 10:00:00,referral,mobile,0
92,view_product,2026-05-10 11:00:00,organic,mobile,0
93,view_product,2026-05-29 19:00:00,organic,mobile,0
93,add_to_cart,2026-05-30 08:00:00,organic,mobile,0
94,view_product,2026-05-29 20:00:00,search,desktop,0
94,add_to_cart,2026-05-29 22:00:00,search,desktop,0
96,view_product,2026-05-22 06:00:00,search,mobile,0
96,add_to_cart,2026-05-22 09:00:00,search,mobile,0
97,view_product,2026-05-10 06:00:00,organic,desktop,0
98,view_product,2026-05-10 22:00:00,organic,mobile,0
101,view_product,2026-05-20 20:00:00,referral,tablet,0
102,view_product,2026-05-05 06:00:00,paid_social,mobile,0
103,view_product,2026-05-06 05:00:00,referral,desktop,0
104,view_product,2026-06-03 12:00:00,organic,mobile,0
105,view_product,2026-05-18 19:00:00,email,desktop,0
107,view_product,2026-05-21 09:00:00,organic,desktop,0
108,view_product,2026-05-11 02:00:00,referral,mobile,0
111,view_product,2026-05-10 08:00:00,search,desktop,0
112,view_product,2026-05-10 23:00:00,search,desktop,0
113,view_product,2026-05-17 11:00:00,paid_social,tablet,0
113,add_to_cart,2026-05-18 00:00:00,paid_social,tablet,0
114,view_product,2026-05-30 02:00:00,organic,desktop,0
114,add_to_cart,2026-05-31 20:00:00,organic,desktop,0
114,purchase,2026-06-01 01:00:00,organic,desktop,299
115,view_product,2026-05-29 14:00:00,organic,mobile,0
118,view_product,2026-05-19 23:00:00,search,mobile,0
119,view_product,2026-06-01 05:00:00,search,mobile,0
119,add_to_cart,2026-06-01 11:00:00,search,mobile,0
120,view_product,2026-05-06 22:00:00,email,desktop,0
121,view_product,2026-05-10 18:00:00,paid_social,mobile,0
122,view_product,2026-05-13 06:00:00,email,desktop,0
122,add_to_cart,2026-05-15 02:00:00,email,desktop,0
123,view_product,2026-05-31 14:00:00,organic,mobile,0
125,view_product,2026-05-25 21:00:00,search,desktop,0
125,add_to_cart,2026-05-26 15:00:00,search,desktop,0
126,view_product,2026-05-21 08:00:00,search,tablet,0
126,add_to_cart,2026-05-22 02:00:00,search,tablet,0
127,view_product,2026-05-13 14:00:00,email,tablet,0
129,view_product,2026-05-10 13:00:00,search,mobile,0
130,view_product,2026-05-31 22:00:00,paid_social,desktop,0
131,view_product,2026-05-26 02:00:00,email,mobile,0
